vote_id,vote_average,vote_count
32622,5.6,9
73067,5.4,4
11863,5.1,45
55475,5.5,1
124636,0,0
9101,5.6,110
123360,6.5,2
5757,3.8,2
39428,7.2,5
124639,0,0
9302,5.9,51
11000,6.7,303
249882,7,2
16388,6.3,23
9737,6.5,1729
30765,5,31
10474,7.2,472
22279,6,11
30157,6.5,21
568,7.3,1637
11780,6.5,151
34996,6.4,46
414,5.2,1529
649,7.3,163
1873,6.4,21
5894,6.8,28
1775,5.9,57
8839,6,1045
20649,6.8,69
10329,5,214
8963,7,508
26564,7.6,71
8068,6.8,898
8512,6.3,88
1572,6.9,2094
13552,5.6,57
259209,0,0
6520,5.9,319
9073,5.5,130
10428,6.2,406
17447,6.5,19
9886,5.5,380
9482,5.4,643
19326,4,34
9344,6.8,280
9071,7.2,64
8973,5.9,87
15730,7,7
47608,5.5,27
2293,6.8,400
9070,5.2,153
68274,5.6,10
48787,6.4,36
34574,5.9,12
1642,5.6,359
11472,5.5,171
36196,5.8,14
11980,6.4,139
58372,10,1
32646,7.2,62
10533,5.5,111
56088,5.3,2
10802,4.9,261
10149,7.2,115
18402,5.7,60
9348,5.5,457
139408,6.6,6
281,6.8,334
5967,7.6,119
79593,4.6,9
47939,6.1,18
36834,6.5,112
9090,6.3,117
3512,5.6,217
52856,6.4,9
77350,6,6
9560,6.5,168
9804,5.9,1017
31611,5.1,25
65796,5.9,27
49805,6,11
26258,4.9,29
50797,6.7,35
19155,7.7,45
76,7.7,984
11017,6.2,464
37141,4.7,27
9382,6.3,48
6715,7.2,58
18256,5.8,40
22625,6.5,30
2292,7.4,769
1909,6.3,184
8984,5.9,217
61813,2.5,1
4954,5.1,91
62488,5.3,9
10531,7.1,92
11929,7.1,183
8467,6.5,1894
10451,7.5,76
20156,6.5,64
18395,4.3,28
522,7.3,639
397,6.2,179
10525,6.1,38
27985,5.6,27
15789,6.7,404
27303,5,24
21183,6.6,48
10954,5.9,20
47867,3,4
43475,5,2
72031,5.4,9
14275,7.7,91
1024,6.9,299
17207,6,17
13701,6.9,90
14819,6,97
32631,6,25
11777,5.9,112
628,7.2,1558
87729,5.2,10
18713,4.8,10
6280,4.7,381
9061,6,124
37108,4.3,40
6071,5.7,83
11,8.1,6778
9587,7,222
19101,7.4,207
49980,7.4,14
17961,6.6,22
18183,6.6,70
4476,7.2,636
11008,6.1,164
47504,6.4,31
32325,5.7,9
43742,4.3,11
28313,6.4,28
11318,6.7,67
3036,6.1,272
40490,5.1,40
24070,5.2,37
8986,5.6,49
10510,6.4,199
17402,5.6,7
38722,7,11
8438,6.9,140
11593,7,56
1945,6.1,128
39310,6.9,7
109560,0,0
56428,4,4
63105,4.6,10
131957,7.4,4
241,6.9,927
9058,6.4,92
527,7.6,106
18220,4.6,32
6950,6.4,522
101,8.2,4293
63020,6.6,9
2307,7,2
680,8.3,8670
41478,6.4,6
25296,6.1,9
40156,6.4,32
11450,7.1,262
30304,7.4,5
10452,7,67
12106,6.2,431
161495,6.4,7
3586,5.3,33
110,7.8,246
108,7.7,311
109,7.3,218
159185,7,2
36357,5.1,15
92769,4.7,3
28033,5,6
22586,6.5,251
14334,6.1,15
2636,5.5,317
2164,6.8,942
11395,6.3,501
278,8.5,8358
9905,7,247
87078,6,7
12527,7.1,16
20306,6.7,104
36614,6,21
27993,5.7,23
31439,7.7,62
9067,5.5,140
9059,6.7,96
193,6.4,461
25066,5.4,33
46797,5.8,8
12122,5.6,165
11381,6.8,321
32636,6.1,15
36141,5.6,15
95963,6.6,4
1587,7.5,943
9271,5.4,163
2064,6.5,340
19855,6.3,39
60855,5.5,2
236,6.9,104
48287,5.3,23
3049,6.4,1684
2759,7.2,174
12635,6.2,37
10497,7,115
11382,7,130
9331,6.4,390
10731,6.4,287
10464,6.4,83
34152,6.7,31
9495,7.3,980
29973,6.1,29
888,5,559
13,8.2,8147
712,6.6,654
16295,6.4,49
48992,6.3,4
10879,5.3,41
10660,6.1,154
10714,5.9,107
41647,7.3,5
8587,8,5520
1689,6,76
11596,6.4,297
854,6.6,2550
9359,6.6,490
23333,6.3,20
36593,6.4,535
12280,6.1,40
2788,6.5,180
10427,6.4,71
11011,5.4,426
49803,4.9,7
8987,6.1,214
1637,6.8,1814
15128,5.5,24
8831,5.5,288
36955,6.8,1138
10449,6,71
10395,6,221
12160,6.5,203
40480,4.9,12
52038,6.5,2
29444,6.1,22
26352,6,31
39953,2,1
41580,5.9,9
315,6.5,59
22067,5.9,9
18242,7.1,8
11667,4.1,330
32502,6.7,13
267188,0,0
28732,6.3,6
75555,3.4,7
42981,7.5,4
278939,10,1
291731,0,0
226229,4,1
203119,0,0
172923,5,1
316098,4,1
8011,4.5,110
171857,5,2
2654,7.1,307
18069,7.2,22
19092,6.7,40
2758,6.5,537
38129,4.5,4
10436,7,172
13595,5.8,222
46094,5.1,42
9409,4.9,58
11853,4.6,61
16771,6.6,20
46924,5,15
11041,5,86
306,5.5,445
14522,6.6,68
26203,6.3,45
178,6,126
19819,5.7,41
57834,6.1,28
4722,5.8,102
18215,4.5,59
1607,7.4,447
26391,4.9,28
117553,3.7,10
6075,7.7,805
11310,4.9,103
18658,5.7,25
9350,6.1,600
9612,4.8,228
2124,5.4,117
26261,5,36
19176,5.1,38
49299,5.4,9
11566,6.3,205
9571,7.4,588
9739,6.4,1018
24257,7.1,12
34444,4.2,29
26141,5.4,37
10997,7.8,98
50463,3.3,6
10443,6.8,80
20239,5.8,11
16297,6.1,54
18551,6.2,22
25440,4.3,3
9024,5.7,77
37233,6.6,513
1634,6,429
13815,7.6,56
5503,7.2,1240
35588,5.9,44
2087,5.4,81
41579,4.5,43
18620,3.9,5
41006,5.2,11
4916,5.6,21
2019,6.1,237
31642,6.4,51
9255,6.2,463
26271,4.7,12
10612,6.1,83
2259,6.7,135
16097,4.6,11
11934,7.1,280
106143,5.7,18
12475,4.7,54
9386,6.8,392
7984,7.6,363
59930,3.9,5
15765,6.9,75
31643,4.6,17
6,6.4,79
329,7.6,4956
10909,6.5,209
507,6.1,111
34024,6.4,33
29918,6.1,54
9593,6.1,725
42580,5.1,24
22317,5.7,40
1413,6.6,35
12121,5.3,86
2246,5.9,105
10502,6.2,125
10440,7.1,169
9516,7.2,179
2320,5.8,261
5879,6.5,112
83718,7,7
11971,7.2,194
2625,5.9,35
31911,5.5,11
788,7,1638
21450,7.5,105
11231,4.8,202
41588,4.8,5
10447,6.1,86
31586,4.8,67
9300,6.7,53
9559,7.2,376
9800,7.6,1019
713,7.1,290
8291,6.9,47
18133,6,28
25557,5.6,41
22588,5.8,12
10872,6.7,99
1245,7.5,213
11858,5.9,83
7007,5.8,188
10467,5.5,43
5550,4.2,309
8005,6.4,575
2088,5.7,36
10412,6.6,126
47889,5.6,10
14534,7.2,187
56583,4,5
41878,6.2,11
424,8.3,4436
35233,5.3,37
14291,7.3,100
103413,5.9,8
11236,7.1,232
11592,6.4,137
8850,5.4,140
10445,6.8,61
695,6.9,136
43535,5.7,26
12519,5.2,31
23210,6.5,75
858,6.5,630
867,4.9,144
78,7.9,3833
13203,5.6,81
10442,6.1,131
11074,5.4,223
33367,4,4
9607,4,236
17585,6.1,53
9057,5,82
20967,7.4,9
10635,6.3,57
9479,7.6,2135
10057,6.2,219
11969,7.4,632
41590,5.5,5
319,7.5,762
26408,7.3,19
15139,6.2,178
161158,6,2
218473,0,1
85247,3,2
11446,6.9,103
51980,6.3,43
24405,4.7,22
11655,6.4,153
11800,4,3
8223,6.8,58
14587,5.1,10
31504,6,20
41653,6.2,10
53185,0,0
95743,0,0
23637,7.2,74
17600,5.3,29
10897,6.3,214
349394,0,0
21352,5,31
68806,5,5
37345,4.4,5
32562,7,24
47507,6.8,4
25403,6.9,46
124304,6,1
9066,5.9,87
771,7.1,2487
251,6.9,1381
812,7.4,3495
280,7.7,4274
581,7.6,1084
80350,6.3,4
268,7,2145
274,8.1,4549
408,6.9,1973
10020,7.5,3029
10895,6.9,1412
114,7,1807
41043,6,6
576,7.7,266
15477,5.5,15
59146,6.5,1
124472,7,2
30528,6.1,20
7300,6.1,160
10824,5,64
261246,5,1
275,7.7,2080
25059,6,105
11827,6.3,150
8766,4.9,111
23570,4.6,30
47333,7.1,51
54850,4,3
51242,7.1,10
10112,7.1,1287
4307,6.9,43
46029,5.1,24
32308,3.6,24
88893,7.5,4
52873,6.4,4
123505,5,1
340210,4.7,3
44281,7.4,5
28121,5.7,15
12520,6.5,82
1592,7.4,644
166901,6,1
36447,5.4,5
19042,5,50
38884,7,53
47449,6.6,5
36259,3.6,17
41852,5.6,14
40926,3,3
9099,5.5,96
2021,5.1,10
61752,5.7,17
10988,5.4,74
11479,6,145
398959,5,1
287305,4,1
339428,0,0
12652,7.1,16
10684,6.2,240
954,6.7,2677
68445,7.7,6
18989,6.2,19
10801,5.3,7
54285,6.2,10
8840,6.4,553
278978,0,0
124625,0,0
11107,5.4,46
16417,6,4
70934,0,0
10363,7.3,73
161070,5.3,3
10539,6.2,375
10543,6.1,157
18414,5.9,26
47502,4.8,4
11902,7.5,143
27098,6.1,23
25087,5.2,23
5801,7.9,63
896,8.2,40
3065,7,71
318177,0,0
2300,6.5,1335
8069,5.7,149
288173,8,1
187851,5.5,1
27768,7.5,8
221917,8,2
8072,6.8,100
35797,6.8,21
88030,7.5,4
185191,0,0
83857,5.8,9
33245,6.2,9
124460,8,1
27281,4.7,37
105045,5,1
40001,5.5,26
29621,3.9,18
117730,6.5,2
20762,5.8,60
37144,5.1,7
48260,7.4,5
12656,5.5,29
38867,3.3,5
277270,0,0
25969,6.8,24
44103,6.7,15
753,7.1,36
43634,5.3,11
9103,5.3,126
90214,7.1,9
29649,5.1,7
10990,6.2,73
8866,5.7,86
12233,6.5,372
23449,4.9,35
36355,5.3,85
37667,6,10
90148,4.4,11
922,7.2,397
11876,6.7,25
52633,6.6,27
62364,5.5,5
11687,7.1,433
9304,5.5,158
73183,10,1
131232,0,0
9100,6.3,388
20759,5.1,29
46063,5.6,9
365371,0,0
32513,7,21
40651,7.7,11
36915,5,17
40507,5.5,5
9802,6.9,1474
25697,5.5,6
21588,7,105
664,6.1,966
11867,3.9,117
47119,5,1
314352,0,0
9323,7.8,854
10280,5.5,125
10535,4.9,148
124613,0,0
532,7.5,223
26744,6.6,33
16299,4.2,22
10547,6.1,200
245268,0,0
935,8,1472
55613,7.8,4
215107,0,0
41007,7.2,7
35645,5.8,20
110465,7,5
255546,10,1
40751,7.1,73
275096,8,3
85778,0,0
11101,7.4,116
9826,4.7,138
9879,4.4,210
63564,5.7,15
22621,7.7,11
7095,5.9,340
26890,6.1,32
46732,6.1,4
124633,0,0
202425,6.5,2
196940,5,1
77771,7.3,10
181083,5,1
41225,5.5,24
188589,0,0
87190,6.3,5
627,7.8,2737
32872,3.9,4
602,6.7,3334
14553,6.6,99
9566,5.7,202
10545,6.8,1182
9894,5.7,603
11543,6.7,248
9268,5.6,553
52059,6.7,3
9327,5.4,717
123763,6.8,3
81949,7.2,6
42005,0,0
124306,8,1
183955,7,1
44535,5.1,2
44495,6.3,3
78285,0,0
11228,5.8,385
10779,6.7,413
26748,6.9,79
38223,5.7,47
9294,6.2,328
49963,6.6,8
11363,5.7,71
1645,7,522
31546,6.2,9
77056,6.5,4
36344,5.2,32
18550,5.2,49
11511,3.6,60
172198,6,1
34170,5.4,35
281085,6,2
109478,4,1
124645,7,2
12606,5.8,42
69895,6,1
35206,7.4,8
151489,6.5,2
4837,6.5,25
12632,6.3,4
9098,5.2,9
282919,4,1
124614,6.5,6
18975,5,55
11962,5,87
2925,6.5,172
28628,7.2,10
3595,6.4,482
9308,5.4,51
92381,5.4,8
18555,6.3,30
12123,5.3,291
10830,6.9,892
3573,6.7,152
10546,5.2,119
18862,5,32
31417,7.5,130
9431,5,63
124619,7,1
297645,0,0
48144,7,2
46986,7.5,4
144982,5,1
47907,6.8,17
10061,5.6,381
36266,6.8,23
549,6.6,97
10478,5.9,152
66634,6,1
116690,6.4,12
213917,6,2
145925,6,1
100914,5,1
238,8.5,6024
159,6.1,34
11134,6.7,109
88224,6.3,9
132641,0,0
42758,6.4,10
9303,6.9,203
23945,4.9,17
37820,6.1,7
22479,6.1,13
9054,4.7,48
241058,4,2
11985,7.3,16
10232,4,2
59569,6.3,10
410921,0,0
38955,5.8,12
110513,5.2,3
114089,7.7,3
11015,5.8,130
9306,4.6,148
12559,5.3,28
58770,6.6,18
124851,5,2
3587,5.4,46
10723,5.4,164
56077,6.8,4
19004,6.1,86
101230,5,1
253632,0,0
10987,5,173
44705,7,22
20318,7.1,13
43596,6.3,8
79782,7.5,4
26933,7.4,18
27854,6.1,41
981,7.7,196
872,7.9,747
2769,6.9,133
13320,7,162
164,7.6,1082
426,8,1162
567,8.2,1531
3078,7.7,283
13528,7.2,73
28288,7.2,17
213,7.8,1062
284,8.1,498
239,8,835
4808,7.7,351
289,7.9,1462
963,7.8,435
11113,7.4,361
6620,7.4,284
804,7.8,502
26531,7,22
909,6.8,66
630,7.4,1689
770,7.7,995
31044,7.1,35
599,8.2,533
15,8,1244
62,7.9,3075
121357,4.8,3
705,8,367
22490,6.4,26
223,7.7,346
25670,7,86
303,7.8,345
4174,7.3,166
8356,7.1,101
381,7.1,299
20758,6.6,43
29376,7.1,46
1859,7.3,77
18299,7.3,55
17281,6.1,68
64382,6.6,11
10907,7.6,170
32093,7.1,39
1939,7.6,173
22292,7.3,59
3598,6.8,42
3080,7.4,62
198,7.7,119
13562,7.7,69
1712,7.5,169
220,7.5,163
3529,7.4,97
3085,7.5,171
2897,6.5,85
1585,8,1103
3083,7.9,245
900,7.6,201
43795,6.4,23
85638,8.3,4
50001,5,7
43905,6.4,26
22688,5.7,6
23114,6.6,13
26378,5.6,8
40206,6.2,17
22356,6.6,27
260,7.4,217
43488,5.2,14
22613,4.9,16
10331,7.5,591
488,7.4,232
22733,6.2,31
261,7.6,168
57575,5.1,9
32574,7.3,52
22657,5.8,6
76464,3.8,2
22649,6.2,29
176841,6,1
125587,4,1
39448,7.4,11
52855,5,8
39940,6.7,19
172868,0,0
85328,5.3,2
124632,0,0
11076,6.6,114
63945,4.8,6
58985,6.5,15
890,6.8,6
10861,5.3,104
1770,6.8,98
44465,4.9,11
2033,0,0
18203,6.8,45
9333,6.2,263
47260,6.5,5
9400,6.9,66
9401,5.9,73
12241,6.2,29
25739,6,3
161806,3,1
11306,5.7,80
9625,4.7,102
10680,5.3,99
6346,5.9,62
18660,6.6,34
35115,5.9,14
14821,6.5,60
14136,6,126
10869,5.9,77
22660,7,68
19186,6.8,92
31102,6.9,50
6878,6.6,218
15944,6.2,22
18444,7,88
20723,6.4,28
173,6.9,160
864,6.8,510
24795,5.7,124
11224,6.8,1760
81310,7.8,20
15947,6.2,108
9078,6.9,935
29682,6.3,5
8367,6.6,937
433,7.4,1217
11360,6.8,1206
11114,6.4,201
12335,6.8,260
12092,7,1557
10948,7,884
11229,6.5,95
15121,7.4,966
562,7.5,4005
10163,5.4,198
48862,6.2,11
117036,0,0
47199,5,7
11159,7.1,127
9591,6.8,230
30500,5.1,13
41843,5.3,21
55058,5.5,2
10938,7.3,76
11412,6.4,323
10586,6.4,238
42314,6.9,33
27845,6.7,51
108365,0,0
23223,6.8,8
49471,7,11
38153,4,12
25147,6.6,38
9716,6.5,149
43777,6.3,3
454,6.7,1406
10218,6.8,255
819,7.3,729
38191,6.1,8
56830,6,6
11238,6.1,494
27256,5.2,3
31530,7.9,22
66473,7,4
28120,6.1,26
1834,7.2,48
26282,5.6,8
37218,7.4,3
252,7.4,826
116356,5,2
16372,7.5,126
11561,7,206
11302,6.7,167
623,7.1,576
583,7.7,1230
12614,6.9,89
21711,6.9,39
11575,7.2,64
475,7.6,384
11331,6,25
521,7.9,539
21202,4.8,3
88,7.1,1371
500,8.1,3821
792,7.5,1236
8491,6.4,255
402,6.5,869
10537,6.7,285
11386,6.9,180
9504,7.5,330
15764,7.4,149
601,7.3,3359
67365,6.3,4
25842,7,34
2119,5.9,359
744,6.7,1736
136311,6.8,5
221,7.6,351
702,7.6,291
25750,4.6,41
17642,0,0
427043,0,0
146341,0,0
9305,7.7,61
37616,5.4,7
11112,6.2,49
21612,7.3,31
141210,8,1
102461,6.8,8
36998,7,56
200383,5.2,3
116844,0,0
1630,6.8,257
26626,5.8,15
124837,5.3,2
11816,7.3,101
11843,6.7,138
10379,5.9,107
2756,7.1,822
790,6.4,318
1103,6.9,720
11298,6.4,165
4480,7.6,113
4481,7.8,103
49688,6.3,3
10765,6,103
762,7.8,1742
44497,6.8,12
85588,8,1
278621,4,1
99479,5,1
55049,8,5
124829,0,0
79306,0,0
356054,0,0
10548,7.3,54
531,7.6,266
104931,7.7,3
4483,6.7,22
18919,7.4,22
31556,6.4,17
26167,7.2,19
26174,6.4,15
61461,7.2,11
117500,4.7,3
218713,8,1
217802,0,0
127973,3.5,2
659,7,93
30892,6.8,29
86369,4.8,3
8074,7,33
124676,0,0
38554,5.1,17
49763,5.7,33
41326,6,2
36555,5.8,13
10608,6.5,44
11216,8.2,834
7452,7.3,137
64567,5.6,9
892,7.4,320
1600,7.3,154
26561,6.9,25
975,8.2,565
18129,6.5,112
54405,4.1,4
150823,5,1
409,7,559
38251,7.4,157
10161,7.5,208
1412,6.7,188
41768,6.7,7
10409,6.2,83
14285,7.9,109
2469,7,102
10174,6.3,32
31225,8.2,67
510,8.3,3001
11455,6.7,201
1891,8.2,5998
2493,7.6,1518
85,7.7,3949
68,7.6,877
679,7.7,3282
429,8.1,2371
13446,7.4,173
389,8.2,2130
947,7.8,870
185,8,3432
595,7.9,676
28,8,2112
335,8.1,1160
1892,7.9,4763
144,7.5,256
1092,7.9,431
769,8.2,3211
348,7.9,4564
766,7.3,852
175,7.6,364
11645,7.9,349
10835,7.6,179
539,8.3,2405
525,7.5,1092
240,8.3,3418
600,7.9,2595
530,7.4,199
10705,7.4,73
279,7.8,1107
3109,7.3,118
311,8.3,1104
1578,7.7,968
703,7.8,1044
9549,7.4,241
1398,7.8,356
387,7.9,623
9277,7.9,639
343,7.7,266
37291,6.5,24
490,7.9,569
11235,7,81
218,7.4,4208
763,7.4,388
9665,7.4,391
18971,7.3,75
696,7.8,600
379,7.5,431
207,8.1,2786
37247,7.6,855
1480,7.6,292
9322,7,511
826,7.7,554
422,7.9,427
829,7.9,939
828,7.3,323
3090,7.9,285
9964,6.4,196
3063,7.6,170
13667,6.8,164
694,8.1,3890
235,7.8,1568
832,8,465
765,7.5,760
5925,7.8,731
11778,7.8,943
4485,6.7,37
137,7.4,2358
33,7.7,1133
982,7.7,188
8428,7,86
212,7.4,234
105,8,6239
1633,7.6,298
11202,7.3,327
1554,7.2,149
149,7.8,792
8009,6.8,642
903,7.7,390
11673,6.8,131
3034,7.7,880
339,7.5,165
10404,7.8,139
914,8.1,756
756,7.2,831
288,7.6,343
910,7.6,244
2640,7.3,387
16633,7.1,104
665,7.5,660
11031,7.6,413
11314,7.7,140
15143,6.9,104
89,7.6,3221
10322,7.7,243
783,7.4,730
10644,7,89
11257,6.9,164
14370,6.6,121
12104,7.7,363
625,7.5,180
8816,7.3,70
830,7.2,238
2323,7.1,383
983,7.6,148
642,7.4,659
655,7.7,282
10341,6.3,45
639,7.3,974
266022,0,0
168450,5,1
30180,6.8,12
31388,3.5,20
41801,5.4,10
66034,6.2,12
348138,0,0
96288,7,1
61536,6.2,8
18762,3.6,13
331367,0,0
8077,6.2,1664
814,7.2,571
41671,4.1,21
27214,4,40
52263,3.5,17
33519,2.8,17
16235,5.9,59
11449,6.2,192
41848,2.7,19
25944,5.8,22
24913,5.8,74
49126,5.8,34
32076,6.2,39
571,7.3,959
8851,6.2,147
37843,4.9,18
32146,5.6,24
30346,6.8,47
6114,7.1,1087
229,7.4,208
13549,6.6,58
9529,6.2,303
1598,7,692
11349,7.2,125
7340,7,977
6217,6,97
377,7.2,1212
653,7.7,373
28198,8.5,2
794,7.2,485
31640,5.5,34
8744,5.6,45
25189,6.5,47
145,7.2,213
2212,6.2,104
199,7,671
7863,7.3,136
12498,7.4,236
9279,5.5,583
53234,5.8,15
17204,7.9,38
21539,5.4,55
85589,6.4,5
12709,7.4,30
20539,6.7,134
11674,5.6,722
199512,5.5,2
64900,5,1
1573,6.6,1920
152,6.2,541
174,6.7,421
172,5.6,384
154,7.3,688
157,6.4,443
168,6.9,490
364,6.6,1706
11967,6.6,262
9086,6.3,165
621,7.2,1633
9037,4.9,185
10173,5.6,100
55687,3.9,19
168535,6,1
8845,6.1,405
46681,7.1,13
578,7.5,2628
579,5.9,412
17692,4.2,266
17795,6.3,46
75,6.1,1544
13891,6.8,27
9390,6.7,941
378,7.2,548
10896,6.8,38
2322,6.7,301
41240,7.3,19
26949,6,28
9819,6.6,130
49799,0,0
31908,6.2,40
46027,6.6,24
3179,6.5,169
1802,7,40
4232,7,1520
9361,7.1,747
2928,5.5,174
30285,5.8,18
10549,7.3,118
58102,7,6
18451,6.4,9
27265,6.8,19
49935,7,5
8818,5.9,122
36758,6.3,46
36040,7.4,111
74239,6.4,4
9415,5.8,130
55146,0,0
303693,0,1
12145,6,95
42424,4.2,16
34314,5.2,63
2892,7.7,3
9404,6.5,101
85242,6,1
9622,5.5,176
8860,5.3,136
197537,4.5,2
66597,6.1,4
14832,7.2,23
9619,5.8,445
40506,5.3,10
31000,5,47
4104,6.9,220
26306,6.7,21
203829,0,0
43775,8,3
14908,4.4,27
784,7.5,46
12489,6.8,55
168283,0,0
16448,7.4,66
55936,6.6,14
17894,5.2,53
28059,6.4,32
58911,4.3,2
17949,5,35
1968,5.8,133
61563,6,10
66,6.4,226
20735,3.9,11
11419,6,175
333165,7,2
25796,7.1,15
638,7.5,572
25624,6.7,31
9366,7.4,1175
60083,3.3,4
21915,5.6,29
90928,6.3,8
50091,5,1
18420,5.6,14
19952,5.6,8
9446,4.9,122
28005,5.7,36
9403,6.7,106
27322,8.1,12
10003,5.9,310
9311,6.6,61
11844,5.9,15
884,6.5,224
49806,6.2,11
1624,6.4,1456
88423,5,1
16052,7.1,115
4477,5.9,300
24662,7.1,25
18423,4.2,13
76996,5.8,9
6499,4.6,60
50512,6.4,26
9405,4.4,163
12723,6.4,43
9360,4.8,624
9434,6.9,278
118991,4.9,5
21626,7,21
13982,5.4,39
93946,6.8,6
77223,6.2,21
31465,5.9,6
12793,5.9,15
102878,8,1
105763,3.5,2
9611,6,160
47694,7.2,6
10357,5.2,387
9977,5.3,9
816,6.5,1033
2163,6.6,202
124680,7,2
16399,5.3,5
124843,4,4
31017,5.7,15
24645,0,0
49478,4.7,9
12499,5.1,77
18,7.3,3962
68545,8,1
1811,6.3,27
109614,3.9,6
60082,5,7
53023,7,21
64802,5.7,10
11239,7.2,35
50850,3.2,5
15321,6.6,29
2058,6.1,112
9450,6.9,53
125021,8,2
330,6.2,2528
38523,7.5,11
16375,6.4,22
33660,5.7,17
59232,6.9,7
45671,6.3,7
17770,5.3,17
15170,3.9,13
1701,6.5,1289
201445,4,1
26422,6.9,41
124642,0,0
1639,4.1,439
49235,6,1
106129,6,1
291634,0,0
107743,5.5,2
415,4.2,1447
47686,7.7,10
65889,6.3,4
11103,5.8,39
11970,7.3,1741
34941,6.7,7
407992,8,2
8874,6.4,606
17991,5.6,24
11956,6.1,16
266,7.5,138
754,6.8,1612
37567,7.2,6
43771,7.5,6
124834,7,3
249358,0,0
111367,8,3
607,6.9,4521
18080,5.8,20
38225,5.8,28
17834,5.5,46
686,7.2,1338
65046,6,4
4421,6,404
9387,6.6,663
10603,5.4,508
2142,6.6,384
8413,6.4,752
10336,5,344
20737,5.3,108
9413,5.1,114
14585,6.8,45
18519,5.6,76
49462,7.4,15
8834,6.5,440
9458,5.9,60
8854,4.2,49
38295,5.3,26
22073,6.5,33
37244,5.2,20
4961,5.7,255
9416,6,90
26180,5.6,56
17832,5.2,39
9772,6.2,859
6072,6.5,141
1669,7.2,971
468,7.1,218
32519,4.4,10
108401,5.3,3
10806,6.3,181
9433,6.8,359
6623,5.8,263
2118,7.7,1340
978,7,644
9437,6.2,353
29461,6.6,19
56651,5,1
10351,5.6,114
66588,5.7,11
2649,7.5,1556
14289,5,91
10155,6.5,185
75250,3.8,3
20457,6.1,18
18355,6.6,41
33657,3.2,6
55306,6.5,19
68924,6.9,181
36434,5.8,6
2255,6.7,441
28353,5.4,9
9427,6.9,372
172545,0,1
17589,6.6,45
3597,5.6,698
1813,7.2,1414
36797,5.4,36
12628,5.6,26
33344,6.3,30
25099,8.3,8
45019,7.4,5
63437,6.3,6
62422,3.8,3
782,7.5,1846
29911,6.2,25
9827,5.2,110
1959,6.5,12
251481,0,0
8067,6.2,130
125052,4.8,4
45153,6.3,29
10871,5.8,52
14398,6.5,32
10890,6.5,253
99002,8,7
1281,6.3,602
32332,5.2,16
9770,5.9,81
12616,5.7,24
34838,6.4,5
14905,6.5,22
14583,6.6,16
11975,6.7,239
4995,7.5,812
9281,7,390
45928,6.3,7
563,6.7,1584
61337,6.1,9
19931,7.1,34
31535,2.7,13
10215,6.6,363
9823,3.8,225
37165,7.8,4702
45609,6.9,34
38904,5.4,7
45565,5,10
9407,5.9,79
4824,6.1,536
9444,7.4,1481
9414,6.5,126
8078,5.9,1388
29938,4.5,2
11831,6.8,324
2895,6.1,39
39177,6.2,10
19601,6.3,34
124606,6,1
42832,5.4,7
22797,6.7,36
2639,7.3,188
9574,5.3,707
10371,5.6,43
489,7.9,2880
167738,6,1
293820,0,0
9714,5.1,632
102406,0,0
170430,0,0
8197,6.3,161
